2025-08-13 11:34:11 | INFO     | etapa4_profesional | _log_with_context:265 | ═══════════ INICIANDO PROCESAMIENTO DE LICITACIONES (VERSIÓN PROFESIONAL) ═══════════ | MEM:105.9MB | T:0.0s
2025-08-13 11:34:11 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 1: Cargando datos de entrada... | MEM:106.0MB | T:0.0s
2025-08-13 11:34:11 | INFO     | etapa4_profesional | _log_with_context:265 | Validación exitosa: 75 registros, 76 columnas | MEM:108.9MB | T:0.1s
2025-08-13 11:34:11 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 2: Procesando estructura de datos... | MEM:108.9MB | T:0.1s
2025-08-13 11:34:16 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 3: Cargando estado anterior... | MEM:109.3MB | T:5.0s
2025-08-13 11:34:16 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 4: Preparando archivo Excel... | MEM:110.8MB | T:5.0s
2025-08-13 11:34:16 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 5: Procesando licitaciones... | MEM:111.3MB | T:5.1s
2025-08-13 11:34:16 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 6: Restaurando validaciones... | MEM:111.3MB | T:5.1s
2025-08-13 11:34:16 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 7: Finalizando archivo... | MEM:111.3MB | T:5.1s
2025-08-13 11:34:16 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 8: Procesando histórico de licitaciones... | MEM:112.0MB | T:5.2s
2025-08-13 11:34:16 | INFO     | etapa4_profesional | _log_with_context:265 | 🕐 Procesando licitaciones expiradas para histórico... | MEM:112.0MB | T:5.2s
2025-08-13 11:34:16 | WARNING  | etapa4_profesional | _log_with_context:265 | No se encontró columna de fecha de cierre, saltando procesamiento de histórico | MEM:112.0MB | T:5.2s
2025-08-13 11:34:16 | INFO     | etapa4_profesional | _log_with_context:265 | ═══════════ PROCESAMIENTO COMPLETADO EXITOSAMENTE ═══════════ | MEM:112.0MB | T:5.2s
