2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | ═══════════ INICIANDO PROCESAMIENTO DE LICITACIONES (VERSIÓN PROFESIONAL) ═══════════ | MEM:92.7MB | T:0.0s
2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 1: Cargando datos de entrada... | MEM:92.7MB | T:0.0s
2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | Validación exitosa: 75 registros, 76 columnas | MEM:92.8MB | T:0.1s
2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 2: Procesando estructura de datos... | MEM:92.8MB | T:0.1s
2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 3: Cargando estado anterior... | MEM:93.5MB | T:0.2s
2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 4: Preparando archivo Excel... | MEM:94.4MB | T:0.2s
2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 5: Procesando licitaciones... | MEM:95.5MB | T:0.3s
2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 6: Restaurando validaciones... | MEM:95.5MB | T:0.3s
2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 7: Finalizando archivo... | MEM:95.5MB | T:0.3s
2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 8: Procesando histórico de licitaciones... | MEM:96.0MB | T:0.3s
2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | 🕐 Procesando licitaciones expiradas para histórico... | MEM:96.0MB | T:0.3s
2025-08-12 15:26:27 | WARNING  | etapa4_profesional | _log_with_context:265 | No se encontró columna de fecha de cierre, saltando procesamiento de histórico | MEM:96.0MB | T:0.3s
2025-08-12 15:26:27 | INFO     | etapa4_profesional | _log_with_context:265 | ═══════════ PROCESAMIENTO COMPLETADO EXITOSAMENTE ═══════════ | MEM:96.0MB | T:0.3s
