2025-08-12 15:25:43 | INFO     | etapa4_profesional | _log_with_context:265 | ═══════════ INICIANDO PROCESAMIENTO DE LICITACIONES (VERSIÓN PROFESIONAL) ═══════════ | MEM:91.2MB | T:0.0s
2025-08-12 15:25:43 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 1: Cargando datos de entrada... | MEM:91.2MB | T:0.0s
2025-08-12 15:25:44 | INFO     | etapa4_profesional | _log_with_context:265 | Validación exitosa: 75 registros, 76 columnas | MEM:93.2MB | T:0.1s
2025-08-12 15:25:44 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 2: Procesando estructura de datos... | MEM:93.2MB | T:0.1s
2025-08-12 15:25:48 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 3: Cargando estado anterior... | MEM:92.9MB | T:4.9s
2025-08-12 15:25:48 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 4: Preparando archivo Excel... | MEM:94.0MB | T:4.9s
2025-08-12 15:25:48 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 5: Procesando licitaciones... | MEM:94.7MB | T:5.0s
2025-08-12 15:25:48 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 6: Restaurando validaciones... | MEM:94.7MB | T:5.0s
2025-08-12 15:25:48 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 7: Finalizando archivo... | MEM:94.7MB | T:5.0s
2025-08-12 15:25:49 | INFO     | etapa4_profesional | _log_with_context:265 | PASO 8: Procesando histórico de licitaciones... | MEM:95.2MB | T:5.1s
2025-08-12 15:25:49 | INFO     | etapa4_profesional | _log_with_context:265 | 🕐 Procesando licitaciones expiradas para histórico... | MEM:95.2MB | T:5.1s
2025-08-12 15:25:49 | WARNING  | etapa4_profesional | _log_with_context:265 | No se encontró columna de fecha de cierre, saltando procesamiento de histórico | MEM:95.2MB | T:5.1s
2025-08-12 15:25:49 | INFO     | etapa4_profesional | _log_with_context:265 | ═══════════ PROCESAMIENTO COMPLETADO EXITOSAMENTE ═══════════ | MEM:95.2MB | T:5.1s
